ID,Paper,Year,Publisher,Link,UML,UML_Image,Stage,Human Roles,AI Roles,Controls,Human modality,AI modality,Efficiency,Reliability,Interuption,Persistence,Expressive,Interpretability,Target user,Explanation
1,VisualWikiCurator: Human and Machine Intelligence for Organizing Wiki Content,2011,IUI,http://www.kongn.org/files/visualwikicurator.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    A ->> H: Recommend [content]
    A ->> H: Extract [metadata]

    note over H,A: Visualization
    A ->> H: Update [view]

    note over H,A: Insight Synthesis
    opt Correction
        H ->> A: Correct [entity]
    end
    opt Reorganization
        H ->> A: Reorganize [section]
    end
    A ->> H: Preview [page]
    H ->> A: Commit [changes]",,Data Preparation,,"Interpreter, Recommender",Sequential,Text,,High,Medium,Low,One-shot,Medium,Medium,general user,The system recommends content and extracts metadata.
1,VisualWikiCurator: Human and Machine Intelligence for Organizing Wiki Content,2011,IUI,http://www.kongn.org/files/visualwikicurator.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    A ->> H: Recommend [content]
    A ->> H: Extract [metadata]

    note over H,A: Visualization
    A ->> H: Update [view]

    note over H,A: Insight Synthesis
    opt Correction
        H ->> A: Correct [entity]
    end
    opt Reorganization
        H ->> A: Reorganize [section]
    end
    A ->> H: Preview [page]
    H ->> A: Commit [changes]",,Visualization,,Updater,Sequential,,Vis,Medium,Medium,Low,One-shot,Low,High,general user,The system presents a visualization view to organize wiki content.
1,VisualWikiCurator: Human and Machine Intelligence for Organizing Wiki Content,2011,IUI,http://www.kongn.org/files/visualwikicurator.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    A ->> H: Recommend [content]
    A ->> H: Extract [metadata]

    note over H,A: Visualization
    A ->> H: Update [view]

    note over H,A: Insight Synthesis
    opt Correction
        H ->> A: Correct [entity]
    end
    opt Reorganization
        H ->> A: Reorganize [section]
    end
    A ->> H: Preview [page]
    H ->> A: Commit [changes]",,Insight Synthesis,"Producer, Refiner, Selector",Evaluator,Repetitive,Text,Vis Widget,Medium,High,Medium,Continuous,High,High,general user,"The user corrects or restructures, and the system previews the updated page."
2,DataDive – Supporting Readers’ Contextualization of Statistical Statements with Data Exploration,2014,IUI,https://dl.acm.org/doi/pdf/10.1145/3640543.3645155,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [statement]

    note over H,A: Data Preparation
    A ->> A: Generate [recommendation]

    note over H,A: Visualization
    A ->> H: Present [options]
    H ->> A: Choose [context]
    A ->> A: Match [data]
    A ->> H: Visualize [context]",,Goal Setting,Selector,,Sequential,Text Sketch,,Medium,Medium,Low,One-shot,High,Low,novice/general,The user selects an interesting statistical statement.
2,DataDive – Supporting Readers’ Contextualization of Statistical Statements with Data Exploration,2014,IUI,https://dl.acm.org/doi/pdf/10.1145/3640543.3645155,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [statement]

    note over H,A: Data Preparation
    A ->> A: Generate [recommendation]

    note over H,A: Visualization
    A ->> H: Present [options]
    H ->> A: Choose [context]
    A ->> A: Match [data]
    A ->> H: Visualize [context]",,Data Preparation,,Analyzer,Sequential,,Text,High,Medium,Low,One-shot,Medium,Medium,novice/general,The system generates contextual candidate questions.
2,DataDive – Supporting Readers’ Contextualization of Statistical Statements with Data Exploration,2014,IUI,https://dl.acm.org/doi/pdf/10.1145/3640543.3645155,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [statement]

    note over H,A: Data Preparation
    A ->> A: Generate [recommendation]

    note over H,A: Visualization
    A ->> H: Present [options]
    H ->> A: Choose [context]
    A ->> A: Match [data]
    A ->> H: Visualize [context]",,Visualization,,"Generator, Presenter",Decision,Vis,Vis Text,Medium,Medium,High,One-shot,Low,High,novice/general,"The system visualizes contextual data, and the user selects and compares."
3,DataTone: Managing Ambiguity in Natural Language Interfaces for Data Visualization,2015,UIST,https://dl.acm.org/doi/pdf/10.1145/2807442.2807478,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: goal setting
    H ->> A: Ask [query]

    note over H,A: visualization
    A ->> A: Parse [spec]
    A ->> A: Generate [visualization]
    A ->> H: Present [widget]

    opt Ambiguity
        note over H,A: insight synthesis
        H ->> A: Correct [constraint]
        A ->> A: Update [model]
    end

    H ->> A: Refine [query]
    A ->> H: Return [visualization]",,Goal Setting,Specifier,,Sequential,Text,,Medium,Medium,Low,One-shot,High,Low,novice/general,"The user issues a query in natural language, text as the main modality."
3,DataTone: Managing Ambiguity in Natural Language Interfaces for Data Visualization,2015,UIST,https://dl.acm.org/doi/pdf/10.1145/2807442.2807478,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: goal setting
    H ->> A: Ask [query]

    note over H,A: visualization
    A ->> A: Parse [spec]
    A ->> A: Generate [visualization]
    A ->> H: Present [widget]

    opt Ambiguity
        note over H,A: insight synthesis
        H ->> A: Correct [constraint]
        A ->> A: Update [model]
    end

    H ->> A: Refine [query]
    A ->> H: Return [visualization]",,Visualization,,"Generator, Presenter",Sequential,,Vis Widget,Medium,Medium,Low,One-shot,Low,High,novice/general,The AI generates a visualization and exposes ambiguity with GUI widgets.
3,DataTone: Managing Ambiguity in Natural Language Interfaces for Data Visualization,2015,UIST,https://dl.acm.org/doi/pdf/10.1145/2807442.2807478,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: goal setting
    H ->> A: Ask [query]

    note over H,A: visualization
    A ->> A: Parse [spec]
    A ->> A: Generate [visualization]
    A ->> H: Present [widget]

    opt Ambiguity
        note over H,A: insight synthesis
        H ->> A: Correct [constraint]
        A ->> A: Update [model]
    end

    H ->> A: Refine [query]
    A ->> H: Return [visualization]",,Insight Synthesis,Refiner,Refiner,Repetitive,Text Widget,Vis ,Medium,High,Medium,Continuous,High,High,novice/general,"The user corrects constraints through widgets, combining text and interface."
4,Mixed-initiative visual analytics using task-driven recommendations,2015,TVCG,https://faculty.cc.gatech.edu/~aendert3/resources/cook-vast-2015.pdf,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Interact [workspace]

    note over H,A: Insight Synthesis
    A ->> A: Infer [task model]
    A ->> H: Recommend [data, relationships, explanations]

    alt Decision
        H ->> H: Integrate [recommendation into analysis]
    else Ignore
        H ->> A: Refine [workspace organization]
    end
    A ->> H: Provide [new recommendations]",,Goal Setting,Demonstrator,,Sequential,Widget,,Medium,Medium,Low,One-shot,High,Low,general user,The user inputs seeds in a spatial workspace.
